tijd,C6H5NO2,C6H6,N2O5
0,0.0,0.02991704141929729,0.0
1,1.830311873245688e-07,0.02975996504235234,9.927778215070592e-05
2,7.299696565045672e-07,0.03025734772587594,0.00019711295468999166
3,1.5997569348927354e-06,0.02942464278107161,0.00029494096250724724
4,2.8076153526258682e-06,0.028467203722405757,0.0003822890028643035
5,4.289061644741292e-06,0.028902239116582868,0.0004967904964498483
6,6.092482972510892e-06,0.028569327564310413,0.0006082591375449061
7,8.349920091762295e-06,0.02933928755434994,0.0006681058568677414
8,1.0759002365479874e-05,0.029264474268049564,0.0007659404059334941
9,1.3768483797846077e-05,0.02875013337943892,0.0008746671474299699
10,1.6544550583048045e-05,0.030074049900536293,0.0009748794028256839
11,1.9687851981476914e-05,0.029375238263359905,0.0010438930442560593
12,2.3859946776764125e-05,0.02767115683397291,0.0011335033920964572
13,2.779020800947503e-05,0.029123965416295597,0.0012627067909366258
14,3.1794282585368606e-05,0.028428064705887476,0.001311923915100811
15,3.579135823526462e-05,0.028238000631479354,0.001475508724788047
16,4.129593398699749e-05,0.027399466772936157,0.0015475394420737321
17,4.5607589121237754e-05,0.027918153896288735,0.001649685736259422
18,5.220497656496931e-05,0.028727062504924742,0.0016925933348586966
19,5.622386793679173e-05,0.028288529695265657,0.0018481645548092441
20,6.162925040193174e-05,0.027899005372725216,0.001861554062447509
21,6.647245108404327e-05,0.02835716423374603,0.0020482234069374976
22,7.408552190685343e-05,0.028362595038881732,0.002099246037015985
23,7.945651487015688e-05,0.027905715179778738,0.0022406623454324427
24,8.694135554950677e-05,0.02847037463228795,0.002144436173753479
25,9.525252053666571e-05,0.02755551114091108,0.0023377457320128887
26,0.00010079895176203086,0.026319328188443496,0.002429489146475617
27,0.0001084746406570443,0.028117464378875374,0.0025020042069822403
28,0.00011312081430929458,0.026938642786973634,0.0026637041969822077
29,0.00012323785956459536,0.026826054801378414,0.002730772175891802
30,0.0001303111425794065,0.027538425696382863,0.0027506741133542395
31,0.0001369488092831456,0.026705851841243165,0.0027920931937869876
32,0.00014667206326357893,0.026958974583582727,0.002962640148940506
33,0.00015320057662360518,0.02596469755072746,0.0030223703426536528
34,0.0001610783612267752,0.02619621428868533,0.0031232064549113494
35,0.00017198448493180332,0.027526502489561826,0.003229479102582694
36,0.00018008835817369916,0.026389099342682232,0.0031760561894316774
37,0.00018776479041384545,0.026362924493962728,0.003553857472131064
38,0.00019594074563365857,0.026392339590451345,0.0034684212113031817
39,0.00020085316198178565,0.026734608080350546,0.0036077575212284676
40,0.00021814555681700848,0.02556683566178048,0.0037394761386618336
41,0.00021767791670124263,0.026248379214983956,0.0038831705072926203
42,0.0002286611903563631,0.02555471846383528,0.0038101889846962706
43,0.00024027699404445234,0.024952606147034068,0.003890009140623268
44,0.000246908467274917,0.025898188773163595,0.0038934747200728963
45,0.00027003927044171055,0.02515893191989818,0.004021726697953697
46,0.0002760932384914581,0.024836794167554133,0.0041476335429356335
47,0.0002888830951206263,0.0245525706050751,0.0042251116035785805
48,0.0002929817308452973,0.02566802579214036,0.004183822659854347
49,0.00029353697328437476,0.02544056915262849,0.0043959646046949
50,0.00031317827985872875,0.025256633781749145,0.0043892199596110805
51,0.0003233114493891048,0.025134595645896592,0.004464438088933791
52,0.0003444863876158503,0.02512953379581334,0.004498437299510375
53,0.00034694294356554513,0.024315898537090912,0.004760784436856828
54,0.00036104619483488847,0.024299734826441374,0.004857276402507865
55,0.0003663603697168882,0.025015999172971197,0.00502734641385925
56,0.00037208108874706104,0.02414809533537228,0.00483387924711245
57,0.000378258929399921,0.024386578984479792,0.005033066515498299
58,0.00039739506764859694,0.024733532804737317,0.0050774991628144625
59,0.00041773878470701114,0.024109700382756838,0.005433443707370253
60,0.00042193391844254076,0.023731279361150596,0.005117707418983034
61,0.00043167505313004877,0.02394514000916267,0.005381808729965071
62,0.0004425747241503485,0.023925396870195362,0.005290915391302728
63,0.0004357298234189039,0.023655034787666413,0.005551280907987861
64,0.000462272809935727,0.023183921780939542,0.005552409229490223
65,0.00047492921902948576,0.02326597631937122,0.005625643720665735
66,0.0004828885028696958,0.023053910515962003,0.005723939650227257
67,0.0004989221429953207,0.024011136842490143,0.005879212023476965
68,0.0004905789188956119,0.022972005322518446,0.00589224094398605
69,0.0005208949687650692,0.02356063468466168,0.0063612920213936735
70,0.0005327516501648697,0.023757533155253495,0.0060940408534290785
71,0.000544907093122214,0.022993826469766172,0.006145306648508511
72,0.000540593416655741,0.022940584268767456,0.006067150298986561
73,0.0005611950252036251,0.024022919836221925,0.00596803196074528
74,0.0005793327859769614,0.022132871621854195,0.006213019850735046
75,0.0005954030859595746,0.022810599879877727,0.0062078618878412505
76,0.0005854479423585789,0.023000762126848494,0.00632302188942552
77,0.0006078050716637062,0.022624198910900686,0.006404065349198343
78,0.0006428623938643555,0.022800573154412907,0.006294527987361751
79,0.0006300198263948474,0.02213005623277944,0.006744648500359827
80,0.0006288015410397267,0.022287660436574448,0.0067703799613507976
81,0.0006614351693743339,0.02171704751364416,0.006728210598551588
82,0.0006551397342836594,0.0218741477662677,0.007085773298861247
83,0.0006781109378657897,0.02151983548324272,0.0070413813445532
84,0.0007129223327311394,0.022443687744217043,0.006772297102867784
85,0.0006883878045050789,0.022457922298591653,0.006954536188759121
86,0.0007126029625938864,0.022154522246127944,0.006991905741164086
87,0.0007166800382689176,0.02032169455034019,0.007045949980595468
88,0.0007250400444306717,0.021104332450919326,0.007499539013616158
89,0.0007187290231163406,0.021369123618738002,0.007350471154997741
90,0.0007726947067636791,0.020856842109514908,0.007572076516366217
