time (s),concentration (%) predicted
201,19.5428
204,19.444
207,19.5239
210,19.396
213,19.4256
216,19.6206
219,19.3781
222,19.2107
225,19.2723
228,19.1859
231,19.3636
234,19.6093
237,19.4821
240,19.3154
243,19.3824
246,19.3798
249,19.2002
252,19.3369
255,19.2775
258,19.2833
261,19.3983
264,19.2324
267,19.319
270,19.2472
273,19.235
276,19.0666
279,19.3075
282,19.2951
285,19.3576
288,19.19
291,19.1211
294,19.0745
297,19.3633
300,19.2085
303,19.4383
306,19.058
309,19.4673
312,19.2865
315,19.4316
318,19.1808
321,19.1143
324,19.1538
327,19.1711
330,19.37
333,19.3833
336,19.4391
339,19.3302
342,19.3411
345,19.2187
348,19.2884
351,19.5666
354,19.3061
357,19.365
360,19.5658
363,19.4161
366,19.5895
369,19.3272
372,19.3398
375,19.2799
378,19.4475
381,19.195
384,19.7192
387,19.3528
390,19.2065
393,19.372
396,19.3702
399,19.4171
402,19.3435
405,19.6613
408,19.5891
411,19.6998
414,19.612
417,19.8958
420,19.8129
423,20.1698
426,20.3934
429,20.2299
432,20.5425
435,21.1157
441,21.2174
447,21.2543
453,21.7158
456,21.5771
459,21.0537
462,21.4656
465,21.4016
468,21.4674
471,21.4355
474,21.9382
477,21.7162
480,21.545
483,21.6906
486,21.6377
489,21.8901
492,21.6588
495,21.6309
498,22.2075
501,22.0321
504,22.1166
507,21.746
510,22.3005
513,22.2317
516,21.4925
519,21.5445
522,21.7216
525,21.8585
528,21.4408
531,21.244
534,21.3498
537,21.5578
540,21.6713
543,21.7343
546,21.8355
549,21.5369
552,21.4374
555,21.5341
558,21.8305
561,21.3251
564,22.015
567,21.7679
570,22.6468
573,22.5417
576,22.06
579,22.0516
582,22.1249
585,22.6693
588,22.3018
591,22.2401
594,22.6215
597,22.4196
600,22.5857
603,22.4213
606,22.6806
609,22.6954
612,22.7771
615,22.6187
618,22.9759
621,23.1446
624,22.7514
627,22.7057
630,23.2186
633,22.8958
639,22.8085
642,22.8539
645,22.9968
648,22.6704
651,22.8156
654,22.6869
657,22.9349
660,22.8843
663,22.824
666,22.3996
669,22.3566
672,22.6331
675,23.012
678,23.1112
681,22.8587
684,22.527
687,22.7828
690,22.8642
693,22.956
696,22.5673
699,23.0249
702,22.8804
705,23.1045
708,23.0892
711,23.3084
714,22.926
717,22.9185
720,22.9273
723,22.8007
726,22.9942
729,23.5828
732,23.5285
735,23.1284
738,23.4049
741,23.1783
744,23.1074
747,23.1356
750,23.2205
753,23.2137
756,23.2571
759,23.0182
762,22.8433
765,23.0331
768,23.2782
771,23.3148
774,23.3252
777,23.3875
780,23.2634
783,23.2074
